Host_Name,Listings_Count,Total_Reviews_Per_Month
Sheila,2,4.24000001
Jagdeep,1,4.239999771
Samantha,4,4.2299999
Leona,4,4.21999988
Francois,1,4.21999979
Cassandra,1,4.209999919
Thiago,1,4.200000048
Betty,3,4.199999928
Emiliano,1,4.199999809
Utkarash,1,4.199999809
Mic,1,4.199999809
Tim And Annette,1,4.190000057
Elisa,1,4.190000057
Liam,2,4.189999998
Mert,3,4.189999938
Peter,4,4.180000097
Tiarnan,1,4.179999828
Damien And Michelle,1,4.150000095
Sanjay,1,4.150000095
Harry,1,4.150000095
Dayane,1,4.150000095
Martin,6,4.150000002
Laura,3,4.149999976
Gearoid,1,4.139999866
Gar,1,4.139999866
Grellan,2,4.110000014
Frank,1,4.100000091
Fionnuala,1,4.100000024
Maeve & Ken,3,4.099999905
Boyd,1,4.090000153
Niamh,5,4.090000033
Cathy,1,4.089999869
學萍,1,4.070000172
Stephanie,1,4.070000052
Nuala,1,4.070000052
Antek,1,4.039999962
Lex,6,4.030000061
A J,1,4.019999981
Timothy,1,4.010000229
