id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
8285658,GPO Suite - Private Room,465144886,Aidan,Dublin City Council,North Inner City LEA-7,53.34856545,-6.255312591,Private room,140,1,16,2024-08-18,1.21,13,332,15
8286998,O' Connell Suite - Private Room,465144886,Aidan,Dublin City Council,North Inner City LEA-7,53.34802596,-6.257217795,Private room,186,1,4,2024-08-25,0.59,13,254,4
8287704,King bedroom Temple Bar Dublin,247178939,Hiphipstay,Dublin City Council,North Inner City LEA-7,53.34611666,-6.267613239,Private room,182,2,2,2024-09-02,1.82,5,134,2
8297439,"No.10 The Kingfisher, King-size bed, en-suite room",60193864,Gillian,Dublin City Council,North Inner City LEA-7,53.35284,-6.26317,Private room,134,2,73,2024-08-28,5.82,12,205,71
8301579,Room in boutique hotel Temple Bar Dublin Ireland,247178939,Hiphipstay,Dublin City Council,North Inner City LEA-7,53.34626,-6.26748,Private room,172,1,8,2024-09-06,6.86,5,145,8
8318010,"No.3 The Kingfisher, Double & Single (Sleeps 3)",60193864,Gillian,Dublin City Council,North Inner City LEA-7,53.35220623,-6.264042713,Private room,132,2,51,2024-09-11,5.95,12,193,51
8324655,RiverView Suite - Templebar Rooms,247178939,Hiphipstay,Dublin City Council,North Inner City LEA-7,53.34619904,-6.26761007,Private room,234,1,43,2024-08-29,8.11,5,136,43
8337320,Spacious 2bed apartment city centre,31284582,Paul,Dublin City Council,North Inner City LEA-7,53.34995,-6.27067,Entire home/apt,331,14,24,2024-08-30,0.95,82,26,18
8352687,Most Central Riverside Hideaway,22799276,Colman,Dublin City Council,North Inner City LEA-7,53.3463,-6.26701,Entire home/apt,279,5,219,2024-07-02,2.02,2,25,22
8379381,Dublin City- Ha'Penny Bridge apt,561201495,Seamus,Dublin City Council,North Inner City LEA-7,53.34701,-6.26671,Entire home/apt,260,2,41,2024-09-07,6.15,1,150,41
8379624,Spacious city centre apt in the heart of Dublin,27150823,Neisha,Dublin City Council,North Inner City LEA-7,53.34973,-6.27519,Entire home/apt,223,3,21,2024-09-01,0.72,1,354,7
8381293,Central 2 bedroom apt in Smithfield,494989882,Chloe,Dublin City Council,North Inner City LEA-7,53.35069,-6.27672,Entire home/apt,254,3,1,2024-06-20,0.35,6,185,1
8381482,The King Suite-Historic City Centre Apartment,261939475,Henrietta Suites,Dublin City Council,North Inner City LEA-7,53.35161,-6.27056,Entire home/apt,419,1,103,2024-08-28,1.61,8,181,55
8406961,3 double bedroom apt templebar,589513,Jason,Dublin City Council,North Inner City LEA-7,53.34757,-6.26629,Entire home/apt,191,1,59,2024-08-28,7.97,3,44,59
8420274,Mary St House 1,539365797,Willie,Dublin City Council,North Inner City LEA-7,53.34865766,-6.2677463,Entire home/apt,425,1,45,2024-09-01,7.42,3,88,45
8421917,The Grafton Suite-Historic City Centre Apartment,261939475,Henrietta Suites,Dublin City Council,North Inner City LEA-7,53.35165,-6.2705,Entire home/apt,369,1,50,2024-07-16,0.81,8,189,15
8446604,Top floor & Central 4 people,69683252,Daniel And G,Dublin City Council,North Inner City LEA-7,53.35206966,-6.269245769,Entire home/apt,182,3,8,2024-08-22,0.57,97,321,7
8449427,City Centre Apt,565833055,Barry,Dublin City Council,North Inner City LEA-7,53.3530429,-6.269278644,Entire home/apt,300,5,15,2024-09-09,2.5,2,223,15
8464157,Lovely Two Bedroom Apartment on The Riverfront,431099868,A,Dublin City Council,North Inner City LEA-7,53.34697,-6.26782,Entire home/apt,271,2,178,2024-09-08,5.24,1,65,42
8550046,Central with a fantastic view of Henrietta St.,23330252,Luxury Apartment At Henrietta,Dublin City Council,North Inner City LEA-7,53.35126,-6.26854,Entire home/apt,372,3,132,2024-09-05,1.47,1,154,35
8573003,Rooftop studio Dublin #2,50136633,Tomas,Dublin City Council,North Inner City LEA-7,53.34718,-6.28082,Private room,133,1,82,2024-09-09,3,2,1,23
8574990,Room w/ private bath city centre,405254038,Amanda,Dublin City Council,North Inner City LEA-7,53.35986,-6.2555,Private room,138,1,19,2024-09-09,1.51,1,80,17
8587080,Rooftop Studio Dublin,50136633,Tomas,Dublin City Council,North Inner City LEA-7,53.34776,-6.27933,Private room,147,1,350,2024-09-09,8.81,2,1,115
8592091,Private comfy bedroom City Center,31741753,João Guilherme,Dublin City Council,North Inner City LEA-7,53.35961771,-6.256198707,Private room,121,1,16,2024-05-20,0.83,2,144,1
8624060,One bedroom flat - Central location,46647780,Elaine,Dublin City Council,North Inner City LEA-7,53.3592119,-6.25459287,Entire home/apt,100,14,16,2024-08-01,0.57,14,19,6
8631808,City Centre apartment off OConnell st Fast WIFI,31284582,Paul,Dublin City Council,North Inner City LEA-7,53.3572,-6.25976,Entire home/apt,203,14,134,2024-09-03,1.66,82,44,20
8637783,City Centre Studio,55276705,Gregory Joseph,Dublin City Council,North Inner City LEA-7,53.34739,-6.26047,Entire home/apt,158,1,4,2024-08-28,3,23,112,4
8679300,Dublin City - 2 bed apartment,584276861,Vinicius,Dublin City Council,North Inner City LEA-7,53.35947,-6.26151,Entire home/apt,240,3,3,2024-07-31,1.22,1,52,3
8699241,3 Bedroom House Drumcondra,17118877,Ronan,Dublin City Council,North Inner City LEA-7,53.3610335,-6.2461331,Entire home/apt,650,2,23,2024-08-30,2.16,1,159,23
8717797,Designer Apt in the heart of Dublin,2340296,Dardo,Dublin City Council,North Inner City LEA-7,53.34752,-6.26393,Entire home/apt,206,2,670,2024-08-28,4.58,1,212,45
8718241,Studio apartment - Central location,46647780,Elaine,Dublin City Council,North Inner City LEA-7,53.35723,-6.25298,Entire home/apt,100,27,74,2024-08-17,1.16,14,20,8
8718548,Studio Dublin 1,46647780,Elaine,Dublin City Council,North Inner City LEA-7,53.35795,-6.25491,Entire home/apt,85,30,34,2024-08-23,0.53,14,34,6
8730680,Elegant Half Penny Bridge Apartment,518235921,Enzo,Dublin City Council,North Inner City LEA-7,53.34656162,-6.262518541,Entire home/apt,201,3,75,2024-09-04,5.36,2,211,64
8731351,"Lovely 3 bedroom Georgian house, North Dublin City",472399512,Eoghan,Dublin City Council,North Inner City LEA-7,53.36262,-6.25676,Entire home/apt,450,2,46,2024-08-25,1.82,2,346,19
8755415,Cosy private room 20 minutes walk from O’Connel St,413848781,Denys,Dublin City Council,North Inner City LEA-7,53.36168,-6.25473,Private room,120,2,27,2024-08-18,1.26,1,352,11
8758194,Old Cinema Building Apartment,312411901,Juxhin,Dublin City Council,North Inner City LEA-7,53.35706711,-6.243050694,Private room,110,1,4,2024-09-08,4,1,77,4
8769651,Studio Apartment - Molloy's Apartments,358036270,Dermot,Dublin City Council,North Inner City LEA-7,53.35109,-6.25139,Entire home/apt,219,1,160,2024-08-19,3.2,5,285,4
8776906,New Stylish STUDIO APT  GREAT LOCATION city centre,31284582,Paul,Dublin City Council,North Inner City LEA-7,53.35679,-6.25997,Entire home/apt,2745,14,10,2024-02-01,0.37,82,40,3
8792188,City charming en-suite with private bathroom,31741753,João Guilherme,Dublin City Council,North Inner City LEA-7,53.3596049,-6.2562148,Private room,144,2,16,2024-08-18,1,2,26,8
8844080,Beautiful room 15 mins to centre,531791380,Aine Marie,Dublin City Council,North Inner City LEA-7,53.36135503,-6.24654148,Private room,193,1,1,2024-07-07,0.44,5,63,1
8864614,Cosy Studio OFF OConnell street*TV & Reliable WIFI,31284582,Paul,Dublin City Council,North Inner City LEA-7,53.3567,-6.26013,Entire home/apt,2619,14,11,2023-09-17,0.41,82,40,1
8865068,Lovely flat in the best location in Dublin 1,33375454,Gabzz,Dublin City Council,North Inner City LEA-7,53.3564991,-6.2643666,Entire home/apt,83,3,1,2023-04-30,0.06,1,10,0
8893871,Immaculate 1-Bed Apartment in Dublin 1,30561562,John,Dublin City Council,North Inner City LEA-7,53.34849,-6.23873,Entire home/apt,131,3,47,2024-09-07,1.09,4,277,21
8920996,Stunning penthouse apartment in Dublin 1,3308521,Marion,Dublin City Council,North Inner City LEA-7,53.36148,-6.24643,Entire home/apt,450,7,1,2022-08-15,0.04,2,90,0
8936290,Cosy Central Studio off OConnell  FAST  WIFI,31284582,Paul,Dublin City Council,North Inner City LEA-7,53.35683,-6.26145,Entire home/apt,155,14,80,2024-09-02,1.08,82,64,15
8953943,"Nicely renovated, 2 bedrooms near O'Connell Street",15929897,Joan,Dublin City Council,North Inner City LEA-7,53.3565,-6.25203,Entire home/apt,246,4,264,2024-08-11,2.67,1,38,21
8958363,Sunfilled Guinness House Beside the Phoenix Park.,22603887,James,Dublin City Council,North Inner City LEA-7,53.35262,-6.29586,Entire home/apt,237,2,123,2024-09-03,1.06,1,33,15
8967361,Bright one bedroom flat + WIFI - Dublin 1,46647780,Elaine,Dublin City Council,North Inner City LEA-7,53.35871,-6.25146,Entire home/apt,110,60,20,2024-07-07,0.44,14,178,7
9000934,Cozy and spacious apartment,70690080,Elena,Dublin City Council,North Inner City LEA-7,53.35007816,-6.244381507,Entire home/apt,180,28,4,2024-06-22,0.32,1,68,3
9003802,"Stunning architectural home, sleeps 8, Dublin.",6219661,Sonya,Dublin City Council,North Inner City LEA-7,53.36205,-6.2442,Entire home/apt,1000,2,17,2016-05-30,0.13,1,362,0
9017683,Lovely 1 Bedroom apartment in Dublin 1,55276705,Gregory Joseph,Dublin City Council,North Inner City LEA-7,53.34698,-6.26113,Entire home/apt,163,1,136,2024-08-19,5.37,23,285,56
9027018,Wonderful 2 bed apt in Dublin 1,234243,Johnny,Dublin City Council,North Inner City LEA-7,53.34873,-6.23872,Entire home/apt,305,14,4,2024-04-20,0.32,38,91,3
9038493,Loft 2 Bedroom Apartment - Molloy's Apartments,358036270,Dermot,Dublin City Council,North Inner City LEA-7,53.35203,-6.25073,Entire home/apt,359,1,18,2024-06-27,0.36,5,21,1
9044749,Bright one bed with terrace & Central,69683252,Daniel And G,Dublin City Council,North Inner City LEA-7,53.35282,-6.25234,Entire home/apt,164,4,16,2024-07-01,0.61,97,76,8
9053780,Family 3 Bedroom Apartment - Molloy's Apartments,358036270,Dermot,Dublin City Council,North Inner City LEA-7,53.35109,-6.25139,Entire home/apt,513,1,63,2024-07-08,1.28,5,284,7
9057244,Modern 1 bed apt in Dublin's financial district,234243,Johnny,Dublin City Council,North Inner City LEA-7,53.34902,-6.24772,Entire home/apt,238,2,19,2024-08-15,0.4,38,90,10
9071285,Top Floor Central Apartment,55276705,Gregory Joseph,Dublin City Council,North Inner City LEA-7,53.34760733,-6.260755947,Entire home/apt,147,1,5,2024-08-13,2.54,23,146,5
9108774,Dublin Central - Two Bedrooms In a Very Quiet Area,22083707,Henrique,Dublin City Council,North Inner City LEA-7,53.34906,-6.244718,Entire home/apt,191,5,42,2024-08-30,1.06,1,66,13
9111307,Stylish 1 Bedroom Apartment in Dublin 1,483024454,Lucas,Dublin City Council,North Inner City LEA-7,53.34914763,-6.245865137,Entire home/apt,207,3,31,2024-08-25,1.93,60,280,25
9122936,Modern City Centre Apartment,108827100,Pat,Dublin City Council,North Inner City LEA-7,53.34763,-6.26228,Entire home/apt,167,2,415,2024-09-05,4.67,2,56,56
